NomStation,NumeroStation,En_service,MiseEnService,Rue,NoRue,Commune,LocationsEn2016,LocationsEn2019
FITTE - TEINTURIERS,73,oui,2007,ALL CHARLES DE FITTE,40,Toulouse,18408,16269
FITTE - VARSI,80,oui,2007,ALL CHARLES DE FITTE,89B,Toulouse,21704,15977
REPUBLIQUE - PLACE OLIVIER,76,oui,2008,RUE DE LA REPUBLIQUE,34,Toulouse,24212,10295
HERACLES - BEARNAIS,86,oui,2007,RUE DU BEARNAIS,23,Toulouse,23761,21356
BONREPOS,61,oui,2007,BD DE BONREPOS,8T,Toulouse,27856,512
CONCORDE -  ARCOLE,58,oui,2007,RUE DE LA CONCORDE,4,Toulouse,56118,49395
CHAPOU,119,oui,2008,ALL DE BRIENNE,129,Toulouse,24475,23945
PERI -  MERCADIER,64,oui,2008,RUE GABRIEL PERI,30,Toulouse,18230,19473
PLACE DU FER A CHEVAL,70,oui,2008,PL DU FER A CHEVAL,5,Toulouse,18744,16416
SERRES -  ARNAUD BERNARD,121,oui,2008,AV HONORE SERRES,33,Toulouse,17693,14155
ST MICHEL - STE CATHERINE,103,oui,2008,GRANDE-RUE SAINT MICHEL,139,Toulouse,24536,21236
SAINTE URSULE,4,oui,2008,RUE SAINTE URSULE,19,Toulouse,50458,44199
BARRIERE DE LOMBEZ,139,oui,2008,AV DE LOMBEZ,39,Toulouse,18986,16655
METRO FONTAINE LESTANG,141,oui,2008,RUE HENRI DESBALS,239,Toulouse,4767,6151
SUISSE LAUSANNE,144,oui,2008,BD DE SUISSE,62,Toulouse,13130,12872
SANG DE SERP DAGNAUX,146,oui,2008,CHE DU SANG DE SERP,57,Toulouse,12088,9963
METRO SAOUZELONG,164,oui,2008,AV ALBERT BEDOUCE,77,Toulouse,8985,7715
BILA,168,oui,2008,PL BILA,1,Toulouse,5812,7977
METRO BOURGES MAUNOURY,175,oui,2008,AV MAURICE BOURGES MAUNOURY,0,Toulouse,8090,9358
METRO PALAIS DE JUSTICE,68,oui,2008,ALL JULES GUESDE,3,Toulouse,53852,42523
PLACE DE LA ROSERAIE,178,oui,2008,AV YVES BRUNAUD,98,Toulouse,10271,10962
MURET BOUTINON,189,oui,2008,AV DE MURET,44,Toulouse,10021,6641
LOMBEZ PETITE VITESSE,193,oui,2008,AV DE LOMBEZ,59,Toulouse,12438,10256
GOUJON PUJOL,196,oui,2008,RUE JEAN GOUJON,10,Toulouse,15376,16912
DELTOUR RIEUX,199,oui,2008,BD DELTOUR,4,Toulouse,3408,6500
POTEZ SAINT EXUPERY,201,oui,2008,AV ANTOINE DE ST EXUPERY,256,Toulouse,4215,4212
PL ROGER ARNAUD,204,oui,2008,PL ROGER ARNAUD,1,Toulouse,15185,14450
CRETES CHAUMIERES,212,oui,2008,RUE DE LA CHAUMIERE,0,Toulouse,1189,3033
CASTRES ACHIARY,214,oui,2008,AV DE CASTRES,48,Toulouse,1380,6716
AMOUROUX SAINT TROPEZ,217,oui,2008,CHE AMOUROUX,42,Toulouse,2493,3105
AMOUROUX SAINTE AUGUSTINE,218,oui,2008,CHE AMOUROUX,24B,Toulouse,1325,1391
VAUQUELIN,221,oui,2008,RUE NICOLAS L VAUQUELIN,85,Toulouse,3968,3557
FONTAINES CASSELARDIT,226,oui,2008,RUE DES FONTAINES,292,Toulouse,9078,13226
METRO PHARMACIE,228,oui,2008,CHE DES MARAICHERS,35,Toulouse,19239,15205
LOUIN RAYNAL,234,oui,2008,RUE PIERRETTE LOUIN,4,Toulouse,4153,4875
GRANDE BRETAGNE BADIOU,245,oui,2008,AV DE GRANDE BRETAGNE,103B,Toulouse,7506,8404
WAGNER BRUNHES,246,oui,2008,BD RICHARD WAGNER,29,Toulouse,14694,14493
BELIN E.N.A.C.,223,oui,2008,AV DU COLONEL ROCHE,4,Toulouse,11967,6469
BELIN SUP AERO,224,oui,2008,AV EDOUARD BELIN,10,Toulouse,6254,3536
ELLA MAILLART - ROQUEMAUREL,9,oui,2008,RUE ELLA MAILLART,8,Toulouse,0,5577
MINIMES - SAINTE FAMILLE,124,oui,2008,AV DES MINIMES,22,Toulouse,22017,22075
GONIN,267,oui,2013,RUE CLAUDE GONIN,1,Toulouse,1813,2742
